                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7472,                 6.9248,                 5.2754,                 1.5438,                0.00335,                      1,                0.35898,                0.29381,                0.00335,                      1,                0.32239,                0.27738,                0.47608,                 1.1494,                 3.2479,                0.93575,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 2.2518,                 6.8322,                 4.5382,                 2.0511,                0.00335,                      1,                0.44631,                0.37885,                0.00335,                      1,                0.42832,                0.36298,                0.53479,                 1.1179,                 3.2557,                 0.9573,             0.00011553,             0.00011553,             0.00011553
                      3,                  1.179,                 3.9464,                 3.6394,                 1.1835,                0.00334,                      1,                0.77674,                0.69422,                0.00334,                      1,                0.77674,                0.68089,                0.55577,                 1.0353,                 3.2366,                0.95489,             0.00017974,             0.00017974,             0.00017974
                      4,                0.96147,                 1.6547,                 2.8904,                 1.0884,                0.00334,                      1,                0.69097,                0.62951,                 0.0026,                0.78571,                 0.5616,                0.36548,                0.40565,                 3.4759,                 3.1155,                0.88589,             0.00024262,             0.00024262,             0.00024262
                      5,                0.49507,                0.89776,                 5.1568,                0.71124,                0.00334,                      1,                0.68079,                0.64522,                0.00161,                    0.5,                0.43191,                0.25927,                  0.342,                 6.4702,                 3.0673,                0.87006,             0.00030419,             0.00030419,             0.00030419
                      6,                0.43021,                0.82456,                 4.9959,                0.69018,                0.00335,                      1,                0.74625,                0.70713,                0.00258,                0.78571,                0.50539,                0.37589,                0.32787,                 3.4081,                 2.9874,                0.85728,             0.00036443,             0.00036443,             0.00036443
                      7,                0.51225,                0.74664,                 2.1758,                0.89165,                0.00334,                      1,                0.79417,                0.73923,                0.00334,                      1,                0.79417,                0.71146,                0.43514,                0.86219,                 2.9575,                0.93259,             0.00042335,             0.00042335,             0.00042335
                      8,                0.56253,                0.74612,                 1.8417,                0.94487,                0.00334,                      1,                  0.905,                0.79896,                0.00334,                      1,                  0.905,                0.72783,                0.64507,                 1.6347,                 2.9501,                 1.0615,             0.00048096,             0.00048096,             0.00048096
                      9,                 0.5182,                0.76859,                 1.7944,                0.90164,                      1,                0.34442,                 0.9169,                0.65294,                      1,                0.34442,                 0.9169,                0.59789,                0.97765,                 2.3572,                  3.376,                 1.2466,             0.00053724,             0.00053724,             0.00053724
                     10,                0.68151,                0.77321,                 2.2852,                0.95309,                0.92828,                    0.5,                0.92063,                0.69668,                0.92828,                    0.5,                0.92063,                0.68315,                0.82449,                 2.1221,                 2.9582,                 1.1045,              0.0005922,              0.0005922,              0.0005922
                     11,                0.64626,                0.70452,                 1.9695,                0.98597,                      1,                0.97757,                  0.995,                0.88054,                      1,                0.97757,                  0.995,                0.91151,                0.55555,                0.62279,                  2.195,                0.94039,             0.00064585,             0.00064585,             0.00064585
                     12,                0.80973,                0.80841,                   1.92,                0.96474,                 0.8619,                0.88911,                0.93632,                0.75772,                 0.8619,                0.88911,                0.93632,                 0.8459,                0.67736,                0.62928,                  2.177,                0.98976,             0.00069817,             0.00069817,             0.00069817
                     13,                0.70339,                0.53891,                 1.8052,                0.95417,                0.97663,                0.35714,                0.90104,                 0.7202,                0.97663,                0.35714,                0.90104,                0.80301,                0.63561,                0.71165,                 2.5905,                0.94799,             0.00074917,             0.00074917,             0.00074917
                     14,                0.54247,                0.62176,                 1.7764,                0.94178,                0.77051,                 0.8521,                  0.974,                0.89341,                0.77051,                 0.8521,                  0.974,                0.90232,                0.56625,                0.65344,                 2.1927,                0.93294,             0.00079885,             0.00079885,             0.00079885
                     15,                0.76665,                0.72943,                 1.7124,                 1.0081,                 0.9536,                0.91877,                0.98625,                0.89716,                 0.9536,                0.91877,                0.98625,                0.92992,                0.48496,                0.57388,                 1.6468,                0.89149,             0.00084721,             0.00084721,             0.00084721
                     16,                0.73194,                0.83749,                 1.6019,                0.97664,                0.93986,                0.75809,                0.92235,                0.77472,                0.93986,                0.75809,                0.92235,                0.84235,                0.57691,                0.55023,                 2.3603,                0.96514,             0.00089425,             0.00089425,             0.00089425
                     17,                 0.7806,                 1.0396,                 1.7716,                 1.0418,                 0.9327,                0.92857,                0.98625,                0.77652,                0.94731,                0.92857,                0.97944,                0.82468,                0.71789,                 1.0417,                 2.1416,                 1.0397,             0.00093997,             0.00093997,             0.00093997
                     18,                0.66611,                0.51188,                 1.3774,                 0.9411,                0.80788,                0.92857,                0.89458,                0.54293,                0.80788,                0.92857,                0.94833,                0.61429,                 1.2202,                  2.887,                 2.3451,                 1.7525,             0.00098438,             0.00098438,             0.00098438
                     19,                0.57909,                0.55774,                  1.335,                0.90567,                0.92845,                0.92852,                 0.9151,                0.50548,                0.98172,                0.91115,                0.96269,                0.60598,                 1.3213,                 2.5202,                 2.2111,                 1.8246,              0.0010275,              0.0010275,              0.0010275
                     20,                0.70257,                 0.5693,                 1.5359,                  0.897,                0.58536,                0.92857,                0.94269,                0.48304,                0.70127,                0.85714,                0.86984,                0.58333,                 1.4992,                 2.3136,                 2.7615,                 1.8378,              0.0010692,              0.0010692,              0.0010692
                     21,                0.62051,                0.52791,                 1.4152,                0.94688,                0.79244,                      1,                0.94188,                0.69336,                0.79244,                      1,                0.94188,                0.80006,                0.79285,                0.86384,                 2.4789,                 1.0761,              0.0011097,              0.0011097,              0.0011097
                     22,                0.75263,                0.58052,                 1.5388,                0.95535,                0.82794,                0.99737,                  0.995,                0.83985,                0.82794,                0.99737,                  0.995,                0.91065,                0.62554,                 0.5428,                 1.8314,                0.98533,              0.0011488,              0.0011488,              0.0011488
                     23,                0.67719,                0.41713,                 1.6034,                0.90948,                0.86524,                      1,                  0.995,                0.86676,                0.86524,                      1,                  0.995,                0.92633,                0.59611,                0.49706,                  1.906,                0.96835,              0.0011866,              0.0011866,              0.0011866
                     24,                0.49318,                0.53594,                 3.3452,                0.69202,                0.90997,                      1,                  0.995,                0.88955,                0.90997,                      1,                  0.995,                0.93026,                0.49886,                0.51558,                  1.554,                0.91771,              0.0012231,              0.0012231,              0.0012231
                     25,                0.59941,                0.42606,                 1.3548,                0.91372,                 0.9901,                      1,                  0.995,                0.88751,                 0.9901,                      1,                  0.995,                0.94134,                0.48607,                0.50891,                 1.4006,                0.89313,              0.0012582,              0.0012582,              0.0012582
                     26,                0.73034,                0.60816,                 1.3954,                0.89861,                 0.9904,                      1,                  0.995,                0.91461,                 0.9904,                      1,                  0.995,                0.92685,                0.48072,                0.49401,                 1.2814,                0.87959,              0.0012544,              0.0012544,              0.0012544
                     27,                 0.4902,                0.43116,                 2.5365,                0.69049,                0.96733,                      1,                  0.995,                0.92272,                0.96733,                      1,                  0.995,                 0.9269,                0.43024,                0.49438,                 1.4289,                0.85874,              0.0012544,              0.0012544,              0.0012544
                     28,                0.55425,                0.52059,                 1.3112,                0.90666,                  0.807,                      1,                  0.995,                0.87521,                  0.807,                      1,                  0.995,                 0.9193,                0.50855,                0.51562,                 2.1149,                0.87533,              0.0012379,              0.0012379,              0.0012379
                     29,                 0.6546,                0.49188,                 1.3326,                0.92098,                0.71725,                 0.9583,                  0.995,                0.86247,                0.71725,                 0.9583,                  0.995,                0.92639,                0.51032,                0.50137,                 2.7989,                0.88465,              0.0012214,              0.0012214,              0.0012214
                     30,                0.66839,                 0.7901,                  1.233,                0.90199,                0.83105,                      1,                  0.995,                 0.8816,                0.83105,                      1,                  0.995,                0.93687,                0.49498,                0.50747,                 2.3109,                0.88709,              0.0012049,              0.0012049,              0.0012049
                     31,                0.51856,                0.47992,                 1.3021,                0.85762,                0.95385,                      1,                  0.995,                0.87312,                0.95385,                      1,                  0.995,                0.93239,                0.45453,                0.54876,                 1.6942,                0.88203,              0.0011884,              0.0011884,              0.0011884
                     32,                0.51837,                0.52847,                 1.0271,                0.88562,                0.78588,                      1,                0.98625,                0.85779,                0.78588,                      1,                0.98625,                0.92145,                0.47896,                0.55002,                 1.6277,                0.89338,              0.0011719,              0.0011719,              0.0011719
                     33,                0.89751,                0.74129,                 1.4753,                0.97063,                0.74425,                      1,                0.84407,                0.75358,                0.74425,                      1,                0.84407,                0.77633,                0.53891,                0.55104,                 1.8561,                0.92777,              0.0011554,              0.0011554,              0.0011554
                     34,                0.55084,                0.54008,                 1.3263,                0.89428,                0.87136,                      1,                0.94873,                0.84216,                0.87136,                      1,                0.94873,                0.86753,                0.47253,                0.50399,                 1.4275,                0.90435,              0.0011389,              0.0011389,              0.0011389
                     35,                0.44669,                0.43799,                 2.2963,                0.68446,                0.83598,                      1,                 0.9095,                0.72899,                0.83598,                      1,                 0.9095,                0.84792,                0.52561,                0.51584,                 1.9161,                 0.9227,              0.0011224,              0.0011224,              0.0011224
                     36,                0.50119,                0.48427,                 1.1925,                0.88692,                0.98632,                      1,                  0.995,                0.91453,                0.98632,                      1,                  0.995,                0.92594,                0.46699,                0.58115,                0.97235,                 0.8952,              0.0011059,              0.0011059,              0.0011059
                     37,                0.53687,                0.51585,                 1.3125,                0.88798,                0.98087,                      1,                  0.995,                0.91548,                0.98087,                      1,                  0.995,                0.92316,                0.44073,                0.61187,                0.89227,                 0.8702,              0.0010894,              0.0010894,              0.0010894
                     38,                0.54319,                0.60303,                 1.2734,                0.98483,                0.98565,                      1,                  0.995,                 0.9192,                0.98565,                      1,                  0.995,                0.92928,                0.41362,                0.48636,                0.84473,                0.85638,              0.0010729,              0.0010729,              0.0010729
                     39,                0.75485,                 0.6833,                 1.3429,                 0.8524,                0.99112,                      1,                  0.995,                0.92357,                0.99112,                      1,                  0.995,                0.93896,                0.36588,                0.44675,                0.82291,                0.84514,              0.0010564,              0.0010564,              0.0010564
                     40,                0.35694,                0.38883,                 2.0091,                0.65147,                0.99307,                      1,                  0.995,                0.97902,                0.99307,                      1,                  0.995,                0.95186,                0.35349,                0.43178,                0.80224,                0.84363,              0.0010399,              0.0010399,              0.0010399
                     41,                0.54841,                0.61217,                 1.0134,                0.88888,                0.99068,                      1,                  0.995,                0.94266,                0.99068,                      1,                  0.995,                0.93577,                0.38447,                0.42755,                0.79655,                0.85187,              0.0010234,              0.0010234,              0.0010234
                     42,                0.50097,                0.53396,                 1.0312,                 0.8966,                0.98545,                      1,                  0.995,                0.91059,                0.98545,                      1,                  0.995,                0.94031,                0.40259,                0.42793,                 0.8034,                 0.8593,              0.0010069,              0.0010069,              0.0010069
